ID,software,Link,Description,Subtype,Year,Last Modified
CA62,Apache httpd,https://serverfault.com/questions/868118/httpd-overwrite-conf-file-directive-with-conf-d-directive,httpd overwrite conf file directive with conf.d directive,Misplaced config.,2017,2017
CA63,PHP,https://serverfault.com/questions/915087/php-fpm-7-1-not-accepting-config-parameters-in-docker,PHP-FPM 7.1 not accepting config parameters in Docker,Misplaced config.,2018,2018
CA64,Apache httpd,https://serverfault.com/questions/219436/500-error-after-creating-htpasswd-and-edit-htaccess,500 error after creating htpasswd and edit htaccess,Misplaced config.,2011,2018
CA65,Apache httpd,https://serverfault.com/questions/652455/apache-404-returning-500-errors-request-exceeded-redirects,"trying to setup a site with static HTML with Apache, but get 500 rather than 404",Misplaced config.,2014,2014
CA66,Apache httpd,https://serverfault.com/questions/597283/apache-not-responding-to-configuration-changes,Apache not responding to configuration changes,Misplaced config.,2014,2014
CA67,Nginx,https://serverfault.com/questions/421301/nginx-worker-proccesses-directive-doesnt-work,"nginx: [emerg] ""worker_processes"" directive is not allowed here in /etc/nginx/sites-enabled/default:1 nginx",Misplaced config.,2012,2021
CA68,Others,https://stackoverflow.com/questions/18598432,Custom App.config section causing configuration load error,Misplaced config.,2013,2013
CA69,Others,https://stackoverflow.com/questions/782252,Avoid web.config inheritance in child web application using inheritInChildApplications,Misplaced config.,2009,2016
CA70,Nginx,https://serverfault.com/questions/706694/use-nginx-as-reverse-proxy-for-multiple-servers,Use Nginx as Reverse Proxy for multiple servers,Misplaced config.,2015,2017
CA71,Nginx,https://stackoverflow.com/questions/15208135/nginx-configuration-error,Nginx + configuration error,Misplaced config.,2013,2013
CA72,PHP,https://serverfault.com/questions/742581/switching-from-mpm-worker-to-event-with-php-fpm,Switching from MPM Worker to Event with PHP-FPM,Misplaced config.,2015,2016
CA73,MySQL,https://stackoverflow.com/questions/44298071,How to fix: mysql: [ERROR] Found option without preceding group in config file /etc/mysql/my.cnf?,Misplaced config.,2017,2022
CA74,MySQL,http://serverfault.com/questions/512503/percona-and-mysql-audit,percona and mysql audit,Misplaced config.,2013,2013
CA75,PostgreSQL,https://stackoverflow.com/questions/73108361/,"the earlier line win, move a  config",Misplaced config.,2022,2022
CA76,PHP,https://stackoverflow.com/questions/23686505/php-post-max-size-vs-upload-max-filesize-what-is-the-difference,PHP post_max_size vs upload_max_filesize,Multi-config. error,2014,2023
CA77,MySQL,https://www.percona.com/blog/2012/06/06/read_buffer_size-can-break-your-replication/,read_buffer_size can break your replication,Multi-config. error,2012,2012
CA78,Apache httpd,http://serverfault.com/questions/367970/virtual-domain-redirection-working-only-partially-with-apache-2-2,virtual domain redirection working only partially with apache 2 2,Multi-config. error,2012,2012
CA79,PHP,https://serverfault.com/questions/1060449/file-size-exceeded-the-maximum-size-permitted-phpmyadmin,file size exceeded the maximum size permitted phpmyadmin,Multi-config. error,2021,2021
CA80,MySQL,https://stackoverflow.com/questions/74291717,missing the initial / character   ,Syntax error,2022,2022
CA81,Nginx,https://stackoverflow.com/questions/72840115,reconfigure SSL,Duplicate option,2022,2022
CA82,Nginx,https://stackoverflow.com/questions/72430595,wrong configuration: advanced nginx http to https redirect,Syntax error,2022,2022
CA83,Others,https://stackoverflow.com/questions/71870967," without any error message, wrong name",Invalid name,2022,2022
CA84,PHP,https://stackoverflow.com/questions/73458710,wrong syntax,Syntax error,2022,2022
CA85,PHP,https://stackoverflow.com/questions/73105988,unclosed parentheses,Syntax error,2022,2022
CA86,Apache httpd,https://stackoverflow.com/questions/73569742/,missing /,Syntax error,2022,2022
CA87,Nginx,https://stackoverflow.com/questions/72675848,wrong position,Misplaced config.,2022,2022
CA88,Nginx,https://stackoverflow.com/questions/72502807,configuration file name override,Misplaced config.,2022,2022
CA89,Nginx,https://stackoverflow.com/questions/72093387,missing  /,Syntax error,2022,2022
CA90,Nginx,https://stackoverflow.com/questions/71462799,duplicate =,Syntax error,2022,2022
CA91,Nginx,https://stackoverflow.com/questions/71326580,typo  && func,Syntax error,2022,2022
CA92,Nginx,https://stackoverflow.com/questions/71239175/,typo ,Syntax error,2022,2022
CA93,Nginx,https://stackoverflow.com/questions/70095266,configuration it has a duplicate rule,Duplicate option,2022,2022
CA94,PostgreSQL,https://stackoverflow.com/questions/72808886,typo for wrong name,Invalid name,2022,2022
CA95,PostgreSQL,https://stackoverflow.com/questions/72193214/,"wrap your ENV[""POSTGRES_PASSWORD""] with <%= ... %>",Syntax error,2022,2022
CA96,Hadoop,https://stackoverflow.com/questions/71313564/,In spark-submit the jars needed to be included before the script,Misplaced config.,2022,2022
CA97,Nginx,https://serverfault.com/questions/1111604/,$backend2 wrong position,Misplaced config.,2022,2022
CA98,Nginx,https://serverfault.com/questions/1103573,"nginx config is read top bottom with first match, add blog part upper in the site config",Misplaced config.,2022,2022
CA99,Nginx,https://serverfault.com/questions/1102199/,missing /,Syntax error,2022,2022
CA100,Nginx,https://stackoverflow.com/questions/71489437,file upload limit,Misplaced config.,2022,2023
CA101,PHP,https://stackoverflow.com/questions/74715153/,wrong URL (phpinfo),Misplaced config.,2022,2022
CA102,Nginx,https://serverfault.com/questions/1130664, cannot use both ipv6only=off and ipv6only=on,Duplicate option,2023,2023
CA103,Nginx,https://stackoverflow.com/questions/75278778,There should not have a space,Syntax error,2023,2023
CA104,MySQL,https://stackoverflow.com/questions/76757841,Quotes are not special characters,Syntax error,2023,2023
CA105,Nginx,https://stackoverflow.com/questions/76945599,default configuration should be removed,Duplicate option,2023,2023
CA106,Nginx,https://stackoverflow.com/questions/76732588,default configuration should be removed,Duplicate option,2023,2023
CA107,Nginx,https://stackoverflow.com/questions/76747168,Nginx rate limiting reuse,Multi-config. error,2023,2023
CA108,Nginx,https://stackoverflow.com/questions/76050367,proxy_pass set with https and proxy_ssl_server_name on;,Multi-config. error,2023,2023
CA109,PostgreSQL,https://stackoverflow.com/questions/76340552,max_function_args is read-only,Syntax error,2023,2023
CA110,PHP,https://stackoverflow.com/questions/76489505,default configuration should be removed,Duplicate option,2023,2023
CA111,PostgreSQL,https://stackoverflow.com/questions/75386663,max connections,Multi-config. error,2023,2023
